date,csi300_ret,csi500_ret,SH600000,SH600036,SH600519,SZ000858,SZ002594,SH601318
2020-01,-0.0005,-0.0305,0.0816,-0.0266,0.0101,-0.076,-0.0404,0.0229
2020-02,-0.001,-0.0377,0.0315,0.0188,0.1261,0.0623,0.0391,0.1027
2020-03,0.0025,-0.024,0.1363,-0.073,-0.0563,-0.1646,0.1114,-0.0142
2020-04,0.0404,0.0315,0.0298,-0.0306,0.0359,0.0088,-0.0114,0.0174
2020-05,0.0094,-0.0035,0.1156,0.0168,0.005,0.0383,-0.0216,0.0233
2020-06,-0.0563,0.1358,0.0533,0.0602,0.0097,0.1095,-0.0244,-0.0196
2020-07,0.0167,-0.0233,-0.0028,0.1059,0.1112,-0.0022,0.0106,0.0401
2020-08,0.0011,-0.0542,-0.0559,0.0356,0.0364,0.08,-0.0737,0.0237
2020-09,0.0013,0.0457,-0.013,-0.0407,0.1342,-0.0301,0.0175,-0.0311
2020-10,0.0164,0.0918,0.0945,0.027,0.0197,-0.0376,0.0115,0.0945
2020-11,0.0239,0.046,0.0903,0.0472,0.0364,-0.0316,0.1286,0.0686
2020-12,0.0668,0.0594,0.0813,0.0507,-0.0024,0.1215,0.0464,0.0158
2021-01,0.0501,0.0929,-0.1056,-0.0143,-0.0205,0.0609,0.0685,-0.0174
2021-02,0.0226,0.0123,0.0231,0.0699,0.0132,0.0341,-0.0499,-0.0312
2021-03,-0.0202,-0.0694,0.0519,0.0329,0.0021,0.2366,0.0631,0.0665
2021-04,-0.0397,-0.0292,-0.0064,0.0567,0.0235,-0.0298,-0.0777,0.0146
2021-05,0.0134,0.0558,-0.0293,0.0935,-0.0883,0.0552,0.0441,0.0349
2021-06,0.0685,-0.0683,0.0006,0.0654,0.094,0.0198,0.0259,0.0056
2021-07,0.0189,-0.0003,0.1124,0.0398,0.0212,-0.0128,-0.0483,0.0395
2021-08,0.0039,0.0178,-0.0217,0.1352,0.1013,0.1689,0.1455,0.0082
2021-09,0.0296,-0.0125,-0.0251,0.0533,-0.021,0.0842,0.0128,0.0457
2021-10,-0.0567,0.0408,0.0804,0.0023,0.0187,-0.1073,-0.122,0.0043
2021-11,-0.0191,0.0375,0.0028,0.0112,0.1695,-0.0094,0.0638,0.0467
2021-12,0.022,0.1322,-0.0162,0.0882,-0.0028,0.0332,-0.0364,0.0458
2022-01,0.0448,0.0475,0.0052,0.0318,-0.0691,0.0511,0.0096,0.0056
2022-02,-0.0024,-0.029,-0.0692,0.0392,-0.0354,-0.1013,0.0301,-0.0393
2022-03,0.0179,-0.0344,-0.0042,0.0779,0.0219,-0.1423,0.0207,-0.0517
2022-04,0.015,-0.0501,-0.0707,-0.0066,0.0442,-0.112,-0.1356,-0.0442
2022-05,0.0385,0.0464,0.0349,-0.0946,0.0784,0.0118,-0.0472,-0.0552
2022-06,-0.0433,-0.0275,0.0137,-0.0051,0.0079,-0.009,0.0607,0.0354
2022-07,0.0203,-0.0074,0.1443,0.0136,-0.0733,0.0257,0.0736,0.0062
2022-08,-0.0636,0.04,0.0636,-0.0275,-0.0309,-0.0572,0.1105,0.0821
2022-09,-0.1255,-0.0359,0.105,0.044,0.0618,-0.0762,0.097,0.1317
2022-10,-0.0437,-0.0193,-0.0422,0.0479,0.0421,-0.1287,-0.1505,0.0284
2022-11,-0.0447,-0.1021,-0.0149,-0.0386,-0.0823,0.0445,0.0832,-0.0682
2022-12,0.0365,-0.0679,0.0207,0.0237,-0.0104,0.0221,-0.1374,-0.0265
2023-01,0.04,-0.0354,0.1176,0.0007,0.0764,0.0698,0.137,-0.0029
2023-02,-0.0434,0.0227,-0.0582,-0.075,0.131,0.0493,-0.0055,-0.0685
2023-03,0.0379,0.0722,0.0502,0.0134,0.0645,-0.0155,-0.0668,-0.0176
2023-04,-0.0323,0.0113,0.0596,0.0089,0.0394,0.1028,0.1511,0.0193
2023-05,-0.0009,0.0214,0.1198,-0.0299,-0.0423,-0.0181,0.0195,-0.0106
2023-06,-0.0047,0.018,0.0893,0.0309,-0.038,-0.0359,-0.1182,-0.0307
2023-07,0.0137,0.0687,0.0412,0.0449,0.008,-0.0228,0.052,-0.0332
2023-08,0.0488,0.0639,-0.0071,-0.0097,0.0406,-0.0287,-0.0481,0.0942
2023-09,0.0464,0.0298,-0.0647,0.0309,0.0515,-0.138,0.0272,0.0203
2023-10,0.0334,-0.0439,0.005,0.0752,0.0011,0.0413,-0.025,-0.0262
2023-11,0.0452,0.0542,0.0029,-0.0085,-0.0425,0.0212,0.1052,-0.0114
2023-12,0.0393,0.0354,0.1351,0.0308,-0.0324,-0.0185,-0.1026,0.0577
