商品,日期,今值,预测值,前值
中国以美元计算进口年率报告,1996-02-01,55.8,,
中国以美元计算进口年率报告,1996-03-01,14.2,,55.8
中国以美元计算进口年率报告,1996-04-01,8.7,,14.2
中国以美元计算进口年率报告,1996-05-01,6.4,,8.7
中国以美元计算进口年率报告,1996-06-01,4.5,,6.4
中国以美元计算进口年率报告,1996-07-01,-0.4,,4.5
中国以美元计算进口年率报告,1996-08-01,1.6,,-0.4
中国以美元计算进口年率报告,1996-09-01,-3.9,,1.6
中国以美元计算进口年率报告,1996-10-01,-8.9,,-3.9
中国以美元计算进口年率报告,1996-11-01,3.0,,-8.9
中国以美元计算进口年率报告,1996-12-01,-3.5,,3.0
中国以美元计算进口年率报告,1997-01-01,8.4,,-3.5
中国以美元计算进口年率报告,1997-02-01,-1.2,,8.4
中国以美元计算进口年率报告,1997-03-01,-5.1,,-1.2
中国以美元计算进口年率报告,1997-04-01,-0.3,,-5.1
中国以美元计算进口年率报告,1997-05-01,2.7,,-0.3
中国以美元计算进口年率报告,1997-06-01,-3.8,,2.7
中国以美元计算进口年率报告,1997-07-01,2.8,,-3.8
中国以美元计算进口年率报告,1997-08-01,13.5,,2.8
中国以美元计算进口年率报告,1997-09-01,-1.0,,13.5
中国以美元计算进口年率报告,1997-10-01,11.6,,-1.0
中国以美元计算进口年率报告,1997-11-01,13.9,,11.6
中国以美元计算进口年率报告,1997-12-01,4.0,,13.9
中国以美元计算进口年率报告,1998-01-01,-4.7,,4.0
中国以美元计算进口年率报告,1998-02-01,-12.9,,-4.7
中国以美元计算进口年率报告,1998-03-01,16.5,,-12.9
中国以美元计算进口年率报告,1998-04-01,7.0,,16.5
中国以美元计算进口年率报告,1998-05-01,4.2,,7.0
中国以美元计算进口年率报告,1998-06-01,-2.3,,4.2
中国以美元计算进口年率报告,1998-07-01,5.3,,-2.3
中国以美元计算进口年率报告,1998-08-01,-6.4,,5.3
中国以美元计算进口年率报告,1998-09-01,-1.7,,-6.4
中国以美元计算进口年率报告,1998-10-01,0.6,,-1.7
中国以美元计算进口年率报告,1998-11-01,-9.2,,0.6
中国以美元计算进口年率报告,1998-12-01,2.1,,-9.2
中国以美元计算进口年率报告,1999-01-01,-7.4,,2.1
中国以美元计算进口年率报告,1999-02-01,13.9,,-7.4
中国以美元计算进口年率报告,1999-03-01,-4.3,,13.9
中国以美元计算进口年率报告,1999-04-01,22.0,,-4.3
中国以美元计算进口年率报告,1999-05-01,18.6,,22.0
中国以美元计算进口年率报告,1999-06-01,21.5,,18.6
中国以美元计算进口年率报告,1999-07-01,22.6,,21.5
中国以美元计算进口年率报告,1999-08-01,16.7,,22.6
中国以美元计算进口年率报告,1999-09-01,23.9,,16.7
中国以美元计算进口年率报告,1999-10-01,32.5,,23.9
中国以美元计算进口年率报告,1999-11-01,18.2,,32.5
中国以美元计算进口年率报告,1999-12-01,36.8,,18.2
中国以美元计算进口年率报告,2000-01-01,-1.1,,36.8
中国以美元计算进口年率报告,2000-02-01,54.2,,-1.1
中国以美元计算进口年率报告,2000-03-01,54.1,,54.2
中国以美元计算进口年率报告,2000-04-01,23.9,,54.1
中国以美元计算进口年率报告,2000-05-01,32.8,,23.9
